ctr.id;ctr.age_grp;ctr.sex;ctr.edu_type;exp.id;exp.sex;exp.edu_type;excl.id;excl.sex;excl.edu_type
4107;60-74;muž;lower;;;NA;;;NA
5312;60-74;muž;lower;;;NA;;;NA
7241;60-74;muž;lower;;;NA;;;NA
7336;60-74;muž;lower;;;NA;;;NA
5301;60-74;muž;lower;;;NA;;;NA
6215;60-74;muž;lower;;;NA;;;NA
7229;60-74;muž;lower;;;NA;;;NA
7357;60-74;muž;lower;;;NA;;;NA
7504;60-74;muž;lower;;;NA;;;NA
3126;60-74;muž;lower;;;NA;;;NA
3216;60-74;muž;lower;;;NA;;;NA
4104;60-74;muž;lower;;;NA;;;NA
1411;60-74;muž;lower;;;NA;;;NA
5101;60-74;muž;lower;;;NA;;;NA
1133;60-74;muž;lower;;;NA;;;NA
4201;60-74;muž;lower;;;NA;;;NA
5126;60-74;muž;lower;;;NA;;;NA
6123;60-74;muž;lower;;;NA;;;NA
7320;60-74;muž;lower;MS06;muž;lower;;;NA
1118;60-74;muž;higher;;;NA;;;NA
1413;60-74;muž;higher;;;NA;;;NA
7309;60-74;muž;higher;;;NA;;;NA
7318;60-74;muž;higher;;;NA;;;NA
3105;60-74;muž;higher;;;NA;;;NA
5112;60-74;muž;higher;;;NA;;;NA
6107;60-74;muž;higher;;;NA;;;NA
3113;60-74;muž;higher;ZK52;muž;higher;;;NA
3310;60-74;muž;higher;;;NA;;;NA
4103;60-74;muž;higher;;;NA;;;NA
1116;60-74;muž;higher;;;NA;;;NA
1302;60-74;muž;higher;;;NA;HG02;muž;higher
1403;60-74;muž;higher;LK06;muž;higher;;;NA
6211;60-74;muž;higher;;;NA;;;NA
1119;60-74;muž;higher;;;NA;;;NA
1301;60-74;muž;higher;;;NA;;;NA
3117;60-74;muž;higher;;;NA;;;NA
1303;60-74;muž;higher;;;NA;;;NA
1304;60-74;muž;higher;;;NA;;;NA
7307;60-74;muž;higher;;;NA;;;NA
3304;60-74;muž;higher;;;NA;;;NA
7230;60-74;muž;higher;;;NA;;;NA
3108;60-74;muž;lower;;;NA;;;NA
1234;60-74;muž;lower;;;NA;;;NA
2209;60-74;muž;lower;;;NA;;;NA
6105;60-74;muž;lower;;;NA;;;NA
6217;60-74;muž;lower;;;NA;;;NA
7333;60-74;muž;lower;;;NA;;;NA
1240;60-74;muž;lower;;;NA;;;NA
3313;60-74;muž;lower;;;NA;;;NA
1002;60-74;muž;lower;;;NA;;;NA
5111;60-74;muž;lower;;;NA;;;NA
5116;60-74;muž;lower;;;NA;;;NA
7240;60-74;muž;lower;;;NA;;;NA
5217;60-74;muž;lower;;;NA;;;NA
6121;60-74;muž;lower;;;NA;;;NA
