Item;X0;X1;X2;X3;X4;X5;X6;W;p;VDA
Trail;11/8;72/75;-;-;-;-;-;3320.0;0.468;0.48 [0.43, 0.53]
Cube;10/9;73/74;-;-;-;-;-;3403.0;0.810;0.49 [0.45, 0.54]
Clock;-;1/5;22/24;60/54;-;-;-;3736.5;0.245;0.54 [0.47, 0.61]
Naming;0/1;0/1;6/5;77/76;-;-;-;3492.0;0.744;0.51 [0.47, 0.55]
Digit span;1/3;12/18;70/62;-;-;-;-;3785.5;0.117;0.55 [0.49, 0.61]
Tapping;3/4;80/79;-;-;-;-;-;3486.0;0.704;0.51 [0.48, 0.54]
Subtraction;-;1/0;8/5;74/78;-;-;-;3276.0;0.260;0.48 [0.43, 0.52]
Repeating;4/3;22/27;57/53;-;-;-;-;3589.5;0.572;0.52 [0.45, 0.60]
Verbal fluency;6/7;77/76;-;-;-;-;-;3486.0;0.776;0.51 [0.47, 0.55]
Abstraction;2/4;32/12;49/67;-;-;-;-;2749.5;0.005;0.40 [0.33, 0.47]
Free recall;13/16;9/7;14/11;19/19;19/21;9/9;-;3418.0;0.932;0.50 [0.41, 0.58]
Orientation;-;-;-;-;-;7/2;75/81;3194.5;0.085;0.46 [0.43, 0.50]
